good.names,genus,family,order,vol_mean,shape_median,color_most,investment_mean,orn_height_mean
Entrophospora_candidum,Entrophospora,Entrophosporaceae,Entrophosporales,759021.8751,0.848,1,0.428959261,0
Entrophospora_claroideum,Entrophospora,Entrophosporaceae,Entrophosporales,1506318.934,0.718994943,2,0.37779068,0
Entrophospora_drummondii,Entrophospora,Entrophosporaceae,Entrophosporales,156230.0937,0.908450704,2,0.38470797,0
Entrophospora_etunicatum,Entrophospora,Entrophosporaceae,Entrophosporales,448141.0711,0.736111111,2,0.436411709,0
Entrophospora_hanlinii,Entrophospora,Entrophosporaceae,Entrophosporales,131341.0877,0.816901408,2,0.619982953,0
Entrophospora_lamellosum,Entrophospora,Entrophosporaceae,Entrophosporales,1114178.102,0.803278689,1,0.583941271,0
Entrophospora_luteum,Entrophospora,Entrophosporaceae,Entrophosporales,999026.4638,0.833333333,2,0.578195642,0
Entrophospora_walkeri,Entrophospora,Entrophosporaceae,Entrophosporales,203278.3234,0.839506173,1,0.536582663,0
Complexispora_mediterranea,Complexispora,Glomeraceae,Glomerales,2120946.011,0.875722543,2,0.536825053,0
Complexispora_multistratosa,Complexispora,Glomeraceae,Glomerales,304171.3569,0.833333333,2,0.654765596,0
Corymbiglomus_corymbiforme,Corymbiglomus,Diversisporaceae,Diversisporales,842545.8282,0.676056338,4,0.474842837,0
Corymbiglomus_globiferum,Corymbiglomus,Diversisporaceae,Diversisporales,4590128.666,0.861111111,4,0.510970753,0
Corymbiglomus_pacificum,Corymbiglomus,Diversisporaceae,Diversisporales,631841.9141,0.851851852,2,0.398143874,0
Sieverdingia_tortuosa,Sieverdingia,Diversisporaceae,Diversisporales,1219544.015,0.769870235,2,0.056194385,0
Dentiscutata_colliculosa,Dentiscutata,Gigasporaceae,Diversisporales,47015504.86,0.894736842,5,0.306409961,4
Dentiscutata_erythropus,Dentiscutata,Gigasporaceae,Diversisporales,15349401.19,0.569872958,5,0.218671185,0
Dentiscutata_heterogama,Dentiscutata,Gigasporaceae,Diversisporales,1651765.38,0.877358491,5,0.304963253,0.75
Dentiscutata_nigerita,Dentiscutata,Gigasporaceae,Diversisporales,70220322.67,0.678571429,6,NA,NA
Desertispora_omaniana,Desertispora,Diversisporaceae,Diversisporales,915788.9193,0.8125,2,0.585581408,0
Diversispora_arenaria,Diversispora,Diversisporaceae,Diversisporales,315755.718,0.783505155,4,0.463901622,0
Diversispora_aurantia,Diversispora,Diversisporaceae,Diversisporales,372119.5554,0.857142857,2,0.429560163,0
Diversispora_celata,Diversispora,Diversisporaceae,Diversisporales,977076.156,0.5546875,1,0.256732087,0
Diversispora_clara,Diversispora,Diversisporaceae,Diversisporales,436779.5536,0.931818182,1,0.356449248,0
Diversispora_eburnea,Diversispora,Diversisporaceae,Diversisporales,201585.5286,0.333333333,1,0.263470757,0
Diversispora_epigaea,Diversispora,Diversisporaceae,Diversisporales,444507.5443,0.631578947,2,0.447213183,0
Diversispora_gibbosa,Diversispora,Diversisporaceae,Diversisporales,408145.6645,0.752688172,1,0.452145006,0
Diversispora_insculpta,Diversispora,Diversisporaceae,Diversisporales,140170.272,0.852112676,2,0.47181949,0
Diversispora_jakucsiae,Diversispora,Diversisporaceae,Diversisporales,556520.0486,0.886363636,4,0.514666463,0
Diversispora_peloponnesiaca,Diversispora,Diversisporaceae,Diversisporales,1224021.996,0.833264879,4,0.442184194,0
