good.names,order,family,genus,color_low,color_most,color_high,orn_height_min,orn_height_mean,orn_height_max,orn_diam_min,orn_diam_mean,orn_diam_max,min_wall_thickness,mean_wall_thickness,max_wall_thickness,dim1.min2,dim1.min,dim1.max,dim1.max2,dim2.min2,dim2.min,dim2.max,dim2.max2
Entrophospora_drummondii,Entrophosporales,Entrophosporaceae,Entrophospora,2,2,2,0,0,0,0,0,0,2.5,5.1,7.7,58,71,71,85,58,71,71,85
Entrophospora_etunicatum,Entrophosporales,Entrophosporaceae,Entrophospora,0,2,5,0,0,0,0,0,0,5,7.7,10.4,68,68,144,162,68,68,144,162
Entrophospora_hanlinii,Entrophosporales,Entrophosporaceae,Entrophospora,2,2,5,0,0,0,0,0,0,4.1,8.8,14.3,45,71,71,90,45,71,71,90
Entrophospora_lamellosum,Entrophosporales,Entrophosporaceae,Entrophospora,0,1,2,0,0,0,0,0,0,6,17.75,29.5,98,106,142,142,122,122,162,162
Entrophospora_luteum,Entrophosporales,Entrophosporaceae,Entrophospora,1,2,5,0,0,0,0,0,0,5.1,13.55,22,60,60,180,180,60,60,180,180
Entrophospora_walkeri,Entrophosporales,Entrophosporaceae,Entrophospora,1,1,2,0,0,0,0,0,0,4.5,8,12.5,55,81,81,95,55,81,81,95
Complexispora_mediterranea,Glomerales,Glomeraceae,Complexispora,2,2,5,0,0,0,0,0,0,11.1,17.5,26.3,130,173,173,230,130,173,173,230
Complexispora_multistratosa,Glomerales,Glomeraceae,Complexispora,2,2,3,0,0,0,0,0,0,5.2,14.4,20.8,62,93,93,121,62,93,93,121
Corymbiglomus_corymbiforme,Diversisporales,Diversisporaceae,Corymbiglomus,2,4,4,0,0,0,0,0,0,5.1,9,12.9,50,142,142,220,50,142,142,220
Corymbiglomus_globiferum,Diversisporales,Diversisporaceae,Corymbiglomus,4,4,5,0,0,0,0,0,0,6.5,22.75,39,150,150,260,260,150,150,270,270
Corymbiglomus_pacificum,Diversisporales,Diversisporaceae,Corymbiglomus,2,2,2,0,0,0,0,0,0,5.1,8.1,11.1,85,95,130,135,75,85,125,131
Sieverdingia_tortuosa,Diversisporales,Diversisporaceae,Sieverdingia,0,2,5,0,0,0,0,0,0,0.5,1.25,2,94,94,180,180,112,112,130,130
Dentiscutata_colliculosa,Diversisporales,Gigasporaceae,Dentiscutata,4,5,6,2.4,4,5.1,3.2,5.1,12,16.3,24,32.2,330,330,570,570,330,330,570,570
Dentiscutata_erythropus,Diversisporales,Gigasporaceae,Dentiscutata,4,5,6,0,0,0,0,0,0,5,11.25,17.5,170,221,364,551,205,205,314,660
Dentiscutata_heterogama,Diversisporales,Gigasporaceae,Dentiscutata,4,5,5,0.5,0.75,1,0.5,0.75,1,6,8.25,10.5,120,159,159,200,120,159,159,200
Dentiscutata_nigerita,Diversisporales,Gigasporaceae,Dentiscutata,6,6,6,NA,NA,NA,7,8.5,10,NA,NA,NA,300,300,650,650,275,275,700,700
Desertispora_omaniana,Diversisporales,Diversisporaceae,Desertispora,0,2,5,0,0,0,0,0,0,7.3,13.2,28.6,85,136,136,170,85,136,136,170
Diversispora_arenaria,Diversisporales,Diversisporaceae,Diversispora,4,4,4,0,0,0,0,0,0,3.2,8.1,11.8,55,97,97,120,55,97,97,120
Diversispora_aurantia,Diversisporales,Diversisporaceae,Diversispora,1,2,5,0,0,0,0,0,0,3.9,7.5,11.6,70,98,98,120,70,98,98,120
Diversispora_celata,Diversisporales,Diversisporaceae,Diversispora,0,1,1,0,0,0,0,0,0,2.2,4.6,7,53,53,160,160,48,48,192,192
Diversispora_clara,Diversisporales,Diversisporaceae,Diversispora,1,1,1,0,0,0,0,0,0,4.3,6.35,8.4,80,80,110,110,80,80,110,110
Diversispora_eburnea,Diversisporales,Diversisporaceae,Diversispora,1,1,1,0,0,0,0,0,0,1.2,3.1,5,40,40,60,60,140,140,160,160
Diversispora_epigaea,Diversisporales,Diversisporaceae,Diversispora,1,2,5,0,0,0,0,0,0,5,8,10,60,75,140,165,95,95,140,140
Diversispora_gibbosa,Diversisporales,Diversisporaceae,Diversispora,0,1,2,0,0,0,0,0,0,4.7,8.1,11.8,70,93,115,140,70,93,115,140
Diversispora_insculpta,Diversisporales,Diversisporaceae,Diversispora,1,2,2,0,0,0,0,0,0,4.1,5.5,8.8,50,71,71,85,50,71,71,85
Diversispora_jakucsiae,Diversisporales,Diversisporaceae,Diversispora,2,4,5,0,0,0,0,0,0,5.6,11.2,17.1,85,110,110,145,85,110,110,145
Diversispora_peloponnesiaca,Diversisporales,Diversisporaceae,Diversispora,2,4,5,0,0,0,0,0,0,8.6,11.3,14.9,108,108,142,142,128,128,171,171
Diversispora_peridiata,Diversisporales,Diversisporaceae,Diversispora,2,2,2,0,0,0,0,0,0,4.1,6.6,9.8,35,74,74,100,35,74,74,100
Diversispora_pustulata,Diversisporales,Diversisporaceae,Diversispora,0,0,0,1,3,7,0,,38,4,10,16,43,86,140,140,60,86,140,140
Diversispora_sabulosa,Diversisporales,Diversisporaceae,Diversispora,2,2,2,0,0,0,0,0,0,5,8.05,11.1,17,51,51,67,17,51,51,67
Diversispora_slowinskiensis,Diversisporales,Diversisporaceae,Diversispora,2,2,2,1,3,7,,,,4.3,7.5,9,75,138,138,190,75,138,138,190
Diversispora_sporocarpia,Diversisporales,Diversisporaceae,Diversispora,2,4,5,0,0,0,0,0,0,7.2,11,14.8,140,160,200,240,125,150,175,200
Diversispora_spurca,Diversisporales,Diversisporaceae,Diversispora,0,0,1,0,0,0,0,0,0,1.85,4.05,6.25,57,75,110,130,40,75,110,115
